id,name,overall_score,weight,thickness,height,width,volume,resolution,pixel_density,screen_size,gorilla_glass_version,refresh_rate,luminance,contrast_ratio,gpu_clock_speed,ram_speed,cpu_speed,cpu_threads,megapixels__main_camera,megapixels__front_camera,pixel_size__main_camera,video_recording__main_camera,wide_aperture__main_camera,number_of_microphones,battery_power,download_speed,waterproof_depth_rating,ingress_protection__ip__rating,battery_life,directx_version,ram,maximum_light_sensitivity,response_time,lowest_potential_operating_temperature,maximum_operating_temperature,emojis_available,usb_version,openvg_version,upload_speed,field_of_view,floating_point_performance,gpu_memory_speed,front_end_width,pixel_rate,bits_executed_at_a_time,warranty_period,opengl_version,exposure_time,maximum_memory_bandwidth,opencl_version,opengl_es_version,internal_storage,semiconductor_size,power_on_delay,number_of_flash_leds,bluetooth_version,maximum_amount_of_external_memory_supported,antutu_benchmark_score,memory_bandwidth,minimum_focal_length,vfp_version,optical_zoom,wide_aperture__front_camera,geekbench_result,continuous_shooting_at_high_resolution,charge_time,movie_bitrate,included_sd_card__memory_size,maximum_focal_length,more_languages_supported,body_sar__us,head_sar__us,head_sar__eu,shutter_lag
1,Xiaomi Mi 10 Pro 5G (256GB / 8GB RAM),100,208g,9mm,162.6mm,74.8mm,109.46cm³,1080 x 2340px,386ppi,"6.67""",5,90Hz,500cd/m²,5000000:1,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 12MP & 8MP & 20MP,20MP,0.8µm & 1µm & 1.4µm & 1µm,4320 x 30fps,f/1.7 & f/2 & f/2 & f/2.2,2,4500mAh,2000MBits/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Xiaomi Mi 10 Pro 5G (256GB / 12GB RAM),100,208g,9mm,162.6mm,74.8mm,109.46cm³,1080 x 2340px,386ppi,"6.67""",5,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 12MP & 8MP & 20MP,20MP,0.8µm & 1µm & 1.4µm & 1µm,4320 x 30fps,f/1.7 & f/2 & f/2 & f/2.2,2,4500mAh,2000MBits/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Xiaomi Mi 10 Pro 5G,100,208g,9mm,162.6mm,74.8mm,109.46cm³,1080 x 2340px,386ppi,"6.67""",5,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 12MP & 8MP & 20MP,20MP,0.8µm & 1µm & 1.4µm & 1µm,4320 x 30fps,f/1.7 & f/2 & f/2 & f/2.2,2,4500mAh,2000MBits/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,OnePlus 8 Pro,99,199g,8.5mm,165.3mm,,,1440 x 3168px,513ppi,"6.78""",6,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),48MP & 48MP & 8MP & 5MP,16MP,1.12µm & 0.8µm & 1µm & 0.8µm,2160 x 60fps,f/1.8 & f/2.2 & f/2.4 & f/2.4,3,4510mAh,1200MBits/s,10m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OnePlus 8 Pro (128GB / 8GB RAM),99,199g,8.5mm,165.3mm,,,1440 x 3168px,513ppi,"6.78""",6,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),48MP & 48MP & 8MP & 5MP,16MP,1.12µm & 0.8µm & 1µm & 0.8µm,2160 x 60fps,f/1.8 & f/2.2 & f/2.4 & f/2.4,3,4510mAh,1200MBits/s,10m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sony Xperia 1 II 5G,97,181.4g,7.6mm,165.1mm,71.1mm,89.21cm³,1644 x 3840px,643ppi,"6.5""",6,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),12MP & 12MP & 12MP & 0.8MP,8MP,,2160 x 60fps,,2,4000mAh,1600MBits/s,1.5m,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Samsung Galaxy S20 Plus 5G (Qualcomm Snapdragon 865) 128GB,97,188g,7.8mm,161.9mm,,,1440 x 3200px,525ppi,"6.7""",6,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),64MP & 12MP & 12MP & 0.3MP,10MP,,4320 x 24fps,f/2 & f/1.8 & f/2.2 & f/2.2,2,4500mAh,2000MBits/s,1.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Samsung Galaxy S20 Plus 5G (Qualcomm Snapdragon 865),97,188g,7.8mm,161.9mm,,,1440 x 3200px,525ppi,"6.7""",6,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),64MP & 12MP & 12MP & 0.3MP,10MP,,4320 x 24fps,f/2 & f/1.8 & f/2.2 & f/2.2,2,4500mAh,2000MBits/s,1.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Samsung Galaxy S10 Plus (Qualcomm Snapdragon 855 / 128GB / 8GB RAM),96,175g,7.8mm,157.6mm,74.1mm,91.09cm³,1440 x 3040px,526ppi,"6.4""",6,,,,600MHz (Samsung Exynos 9820),2133MHz (Qualcomm Snapdragon 855),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 855),8 (Qualcomm Snapdragon 855),16MP & 12MP & 12MP,10MP & 8MP,1.4µm,2160 x 60fps,f/1.5 & f/2.2 & f/2.4,2,4100mAh,2000MBits/s (Qualcomm Snapdragon 855),1.5m,,40.73h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Samsung Galaxy S10 Plus (Qualcomm Snapdragon 855 / 512GB / 8GB RAM),96,175g,7.8mm,157.6mm,,,1440 x 3040px,526ppi,"6.4""",6,,,,600MHz (Samsung Exynos 9820),2133MHz (Qualcomm Snapdragon 855),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 855),8 (Qualcomm Snapdragon 855),16MP & 12MP & 12MP,10MP & 8MP,1.4µm,2160 x 60fps,f/1.5 & f/2.2 & f/2.4,2,4100mAh,2000MBits/s (Qualcomm Snapdragon 855),1.5m,,40.73h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Samsung Galaxy S10 5G (Qualcomm Snapdragon 855),96,198g,7.9mm,162.6mm,77.1mm,99.04cm³,1440 x 3040px,502ppi,"6.7""",6,,,,600MHz (Samsung Exynos 9820),2133MHz (Qualcomm Snapdragon 855),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 855),8 (Qualcomm Snapdragon 855),16MP & 12MP & 12MP,10MP & 8MP,1.4µm,2160 x 60fps,f/1.5 & f/2.2 & f/2.4,2,4500mAh,2000MBits/s,1.5m,,40.73h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Samsung Galaxy S10 Plus (128GB / 8GB RAM),96,175g,7.8mm,157.6mm,74.1mm,91.09cm³,1440 x 3040px,526ppi,"6.4""",6,,,,600MHz (Samsung Exynos 9820),1800MHz (Samsung Exynos 9820),2 x 2.7GHz & 2 x 2.3GHz & 4 x 1.9GHz (Samsung Exynos 9820),8 (Samsung Exynos 9820),16MP & 12MP & 12MP,10MP & 8MP,1.4µm,2160 x 60fps,f/1.5 & f/2.2 & f/2.4,2,4100mAh,2000MBits/s (Samsung Exynos 9820),1.5m,,40.73h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Samsung Galaxy S10 Plus (512GB / 8GB RAM),96,175g,7.8mm,157.6mm,74.1mm,91.09cm³,1440 x 3040px,526ppi,"6.4""",6,,,,600MHz (Samsung Exynos 9820),1800MHz (Samsung Exynos 9820),2 x 2.7GHz & 2 x 2.3GHz & 4 x 1.9GHz (Samsung Exynos 9820),8 (Samsung Exynos 9820),16MP & 12MP & 12MP,10MP & 8MP,1.4µm,2160 x 60fps,f/1.5 & f/2.2 & f/2.4,2,4100mAh,2000MBits/s (Samsung Exynos 9820),1.5m,,40.73h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Samsung Galaxy S10 5G,96,198g,7.9mm,162.6mm,,,1440 x 3040px,502ppi,"6.7""",6,,,,600MHz (Samsung Exynos 9820),1800MHz (Samsung Exynos 9820),2 x 2.7GHz & 2 x 2.3GHz & 4 x 1.9GHz (Samsung Exynos 9820),8 (Samsung Exynos 9820),16MP & 12MP & 12MP,10MP & 8MP,1.4µm,2160 x 60fps,f/1.5 & f/2.2 & f/2.4,2,4500mAh,2000MBits/s,1.5m,,40.73h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Samsung Galaxy S10 Plus,96,175g,7.8mm,157.6mm,,,1440 x 3040px,526ppi,"6.4""",6,,,,600MHz (Samsung Exynos 9820),1800MHz (Samsung Exynos 9820),2 x 2.7GHz & 2 x 2.3GHz & 4 x 1.9GHz (Samsung Exynos 9820),8 (Samsung Exynos 9820),16MP & 12MP & 12MP,10MP & 8MP,1.4µm,2160 x 60fps,f/1.5 & f/2.2 & f/2.4,2,4100mAh,2000MBits/s (Samsung Exynos 9820),1.5m,,40.73h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,LG V60 ThinQ 5G,96,218g,8.9mm,169.3mm,,,1080 x 2460px,395ppi,"6.8""",5,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),64MP & 13MP & 0.3MP,10MP,,4320 x 30fps,f/1.8 & f/1.9 & f/1.4,4,5000mAh,2000MBits/s,1.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Samsung Galaxy S20 5G (Qualcomm Snapdragon 865),96,163g,7.9mm,151.7mm,,,1440 x 3200px,566ppi,"6.2""",6,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),64MP & 12MP & 12MP,,,3240 x 30fps,,2,4000mAh,2000MBits/s,1.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Samsung Galaxy S10 Plus (Qualcomm Snapdragon 855),96,175g,7.8mm,157.6mm,,,1440 x 3040px,526ppi,"6.4""",6,,,,600MHz (Samsung Exynos 9820),2133MHz (Qualcomm Snapdragon 855),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 855),8 (Qualcomm Snapdragon 855),16MP & 12MP & 12MP,10MP & 8MP,1.4µm,2160 x 60fps,f/1.5 & f/2.2 & f/2.4,2,4100mAh,2000MBits/s (Qualcomm Snapdragon 855),1.5m,,40.73h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Xiaomi Mi 10 5G (256GB / 8GB RAM),95,208g,9mm,162.6mm,74.8mm,,1080 x 2340px,386ppi,"6.67""",5,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 13MP & 2MP & 2MP,20MP,,4320 x 30fps,f/1.7 & f/2.4 & f/2.4 & f/2.4,2,4780mAh,2000MBits/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Xiaomi Mi 10 5G,95,208g,9mm,162.6mm,74.8mm,109.46cm³,1080 x 2340px,386ppi,"6.67""",5,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 13MP & 2MP & 2MP,20MP,,4320 x 30fps,f/1.7 & f/2.4 & f/2.4 & f/2.4,2,4780mAh,2000MBits/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Xiaomi Mi 10 5G (128GB / 8GB RAM),95,208g,9mm,162.6mm,74.8mm,,1080 x 2340px,386ppi,"6.67""",5,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 13MP & 2MP & 2MP,20MP,,4320 x 30fps,f/1.7 & f/2.4 & f/2.4 & f/2.4,2,4780mAh,2000MBits/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Google Pixel 4 XL 64GB,94,,8.2mm,160.4mm,75.1mm,,1800 x 3200px,537ppi,"6.3""",5,,,,,2133MHz (Qualcomm Snapdragon 855),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 855),8 (Qualcomm Snapdragon 855),16MP & 12.2MP,10MP,,2160 x 30fps,,2,3700mAh,1200MBits/s,1.5m,,,12 (Qualcomm Snapdragon 855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Samsung Galaxy S20 Ultra (Qualcomm Snapdragon 865) 128GB / 12GB RAM,94,222g,8.8mm,166.9mm,76mm,111.62cm³,1440 x 3200px,511ppi,"6.9""",6,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 48MP & 12MP & 0.3MP,40MP,,4320 x 24fps,f/2 & f/1.8 & f/2.2 & f/2.2,2,5000mAh,2000MBits/s,1.5m,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Samsung Galaxy S20 Ultra (256GB / 12GB RAM),94,222g,8.8mm,166.9mm,,,1440 x 3200px,511ppi,"6.9""",6,,,,,,2 x 2.7GHz & 4 x 2.4GHz & 2 x 1.95GHz (Samsung Exynos 990),,108MP & 48MP & 12MP & 0.3MP,40MP,,4320 x 24fps,f/2 & f/1.8 & f/2.2 & f/2.2,2,5000mAh,2000MBits/s,1.5m,,,,12GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Samsung Galaxy S20 Ultra (Qualcomm Snapdragon 865),94,222g,8.8mm,166.9mm,,,1440 x 3200px,511ppi,"6.9""",6,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 48MP & 12MP & 0.3MP,40MP,,4320 x 24fps,f/2 & f/1.8 & f/2.2 & f/2.2,2,5000mAh,2000MBits/s,1.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Samsung Galaxy S20 Ultra,94,222g,8.8mm,166.9mm,,,1440 x 3200px,511ppi,"6.9""",6,,,,,,2 x 2.7GHz & 4 x 2.4GHz & 2 x 1.95GHz (Samsung Exynos 990),,108MP & 48MP & 12MP & 0.3MP,40MP,,4320 x 24fps,f/2 & f/1.8 & f/2.2 & f/2.2,2,5000mAh,2000MBits/s,1.5m,,,,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Motorola Edge Plus,94,203g,9.6mm,161.1mm,71.4mm,110.42cm³,1080 x 2340px,385ppi,"6.7""",5,,,,587MHz (Qualcomm Snapdragon 865),2750MHz (Qualcomm Snapdragon 865),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 865),8 (Qualcomm Snapdragon 865),108MP & 16MP & 8MP,25MP,0.8µm & 1µm & 1.12µm,3240 x 30fps,f/1.8 & f/2.2 & f/2.4,3,5000mAh,2000MBits/s,,52,48h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LG G8s ThinQ,94,181g,8.4mm,151.9mm,,,1080 x 2248px,402ppi,"6.2""",5,,,,,2133MHz (Qualcomm Snapdragon 855),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 855),8 (Qualcomm Snapdragon 855),13MP & 12MP & 12MP,8MP,1.4µm & 1µm & 1µm,2160 x 60fps,f/1.8 & f/2.4 & f/2.6,2,3550mAh,300MBits/s,1.5m,,19h,12 (Qualcomm Snapdragon 855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
